stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
52,0.5,1,69.17723771,69.66832912,69.66832912,69.67302767,69.95545204,left,-1,1,1,0.508491916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
53,0.5,1,70.19402479,70.68499917,70.68499917,70.68937354,70.971653,left,-1,1,1,0.435128041,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
54,0.5,1,71.13470604,71.62205458,71.62205458,71.62205458,71.918369,right,1,1,1,0.749022457,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
55,0.5,1,72.38502921,72.86836479,72.86836479,72.87306208,73.15547946,right,1,1,1,0.602658832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
56,0.5,1,73.48502575,73.96830679,73.96830679,73.97310583,74.25550425,right,1,1,1,1.080587291,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
57,0.5,1,75.06102733,75.55172804,75.55172804,75.55591637,75.83898908,right,1,0,0,1.143832958,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
58,0.5,1.5,76.71011933,77.19107833,77.19107833,77.20542762,77.48889717,right,1.5,1,1,0.630607374,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
59,0.5,1.5,77.83511642,78.32217137,78.32217137,78.32217137,78.61839896,right,1.5,1,1,0.566376666,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
60,0.5,1.5,78.90180113,79.38514446,79.38514446,79.38930442,79.67256442,left,-1.5,1,1,0.472622333,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
61,0.5,1,79.87829254,80.36861721,80.36861721,80.37267383,80.65519162,left,-1,1,1,0.555297416,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
62,0.5,1,80.94383196,81.43521792,81.43521792,81.43933687,81.72323654,right,1,0,0,0.534880457,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
63,0.5,1.5,81.98489108,82.46851233,82.46851233,82.4727335,82.75531879,right,1.5,1,1,0.547218415,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
64,0.5,1.5,83.02712396,83.51850733,83.51850733,83.52271692,83.80546846,right,1.5,1,1,0.737654624,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
65,0.5,1.5,84.27728375,84.76842104,84.76842104,84.77244354,85.05521312,right,1.5,1,1,0.718117791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
66,0.5,1,85.50188342,85.98525142,85.98525142,85.98955346,86.27231121,right,1,1,1,0.495721541,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
67,0.5,1,86.49391171,86.98526546,86.98526546,86.98966875,87.27167342,right,1,1,1,0.787998707,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
68,0.5,1,87.79455196,88.28517204,88.28517204,88.28923933,88.57259612,left,-1,1,1,0.612700582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
69,0.5,1,88.91277387,89.40195154,89.40195154,89.40624412,89.68893429,left,-1,1,1,0.636056915,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
70,0.5,1,90.05206233,90.535269,90.535269,90.53938992,90.82235854,left,-1,1,1,0.639929166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
71,0.5,1,91.19449863,91.68530425,91.68530425,91.68977063,91.97242571,right,1,0,0,1.201767207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
72,0.5,1.5,92.90199121,93.38533029,93.38533029,93.38962371,93.67246683,left,-1.5,1,1,0.794806582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
73,0.5,1.5,94.193945,94.68523367,94.68523367,94.68922967,94.97292067,left,-1.5,1,1,0.636193041,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
74,0.5,1.5,95.33527171,95.81869129,95.81869129,95.82288512,96.10542737,right,1.5,1,1,0.618782374,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
75,0.5,1,96.45187679,96.93526667,96.93526667,96.93932437,97.222399,left,-1,1,1,1.595137332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
76,0.5,1,98.54453746,99.03534537,99.03534537,99.03945742,99.32206142,left,-1,0,0,0.619903166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
77,0.5,1.5,99.66876833,100.1520688,100.1520688,100.1562378,100.440054,left,-1.5,1,1,0.655572332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
78,0.5,1.5,100.8272188,101.3187859,101.3187859,101.3229305,101.6073948,right,1.5,1,1,0.535390541,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
79,0.5,1.5,101.8688078,102.3521732,102.3521732,102.3565,102.6393514,left,-1.5,1,1,0.826564624,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
80,0.5,1,103.1947509,103.6854847,103.6854847,103.6896981,103.9726226,left,-1,1,1,0.849325458,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
81,0.5,1,104.5440362,105.0354952,105.0354952,105.0395082,105.3227582,left,-1,1,1,0.619591208,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
82,0.5,1,105.6687635,106.1522136,106.1522136,106.156368,106.4391065,right,1,1,1,0.569325999,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
83,0.5,1,106.7352994,107.218937,107.218937,107.2230288,107.5061167,right,1,1,1,0.528970249,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
84,0.5,1,107.7614858,108.2521971,108.2521971,108.2572505,108.5389779,right,1,1,1,0.485418374,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
85,0.5,1,108.7522076,109.2398212,109.2398212,109.2398212,109.5356196,left,-1,1,1,0.648487165,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
86,0.5,1,109.90228,110.3855767,110.3855767,110.3897672,110.6730284,right,1,1,1,0.768615124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
87,0.5,1,111.1689402,111.65607,111.65607,111.65607,111.9523292,right,1,1,1,0.664654707,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
88,0.5,1,112.3354194,112.8185627,112.8185627,112.8220634,113.1050546,right,1,1,1,0.685564916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
89,0.5,1,113.5187553,114.0062141,114.0062141,114.0062141,114.3018284,left,-1,1,1,0.620841958,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
90,0.5,1,114.644503,115.1356346,115.1356346,115.1397366,115.423524,left,-1,1,1,0.569815832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
91,0.5,1,115.718949,116.2063678,116.2063678,116.2063678,116.5024247,right,1,1,1,0.738958832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
92,0.5,1,116.9618064,117.4523608,117.4523608,117.45679,117.7396192,right,1,1,1,0.736231499,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
93,0.5,1,118.2023837,118.6856839,118.6856839,118.6902408,118.9740485,right,1,1,1,0.559540499,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
94,0.5,1,119.2614885,119.7523116,119.7523116,119.7563885,120.0393871,left,-1,1,1,0.608172791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
95,0.5,1,120.3791092,120.8690767,120.8690767,120.8732642,121.156641,left,-1,1,1,0.556516207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
96,0.5,1,121.4455817,121.9357296,121.9357296,121.9404824,122.2230924,left,-1,1,1,0.622440749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
97,0.5,1,122.5779442,123.069132,123.069132,123.0732135,123.3559645,right,1,0,0,0.637165457,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
98,0.5,1.5,123.7252843,124.2191437,124.2191437,124.2232934,124.5064258,left,-1.5,1,1,0.622998832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
